"id","name","hiragana","recipes_count"
3652,"トマトケチャップ","とまとけちゃっぷ",3
3662,"マスタード","ますたーど",5
3672,"芝えび","しばえび",1
3682,"グリーンピース","ぐりーんぴーす",1
3692,"ロースハム","ろーすはむ",1
3702,"豚ロース肉","ぶたろーすにく",2
3712,"バルサミコ酢","ばるさみこす",3
3722,"合びき肉","あいびきひく",2
3732,"にんにく","にんにく",103
3742,"カレー粉","かれーこ",2
3752,"半熟卵","はんじゅくたまご",1
3762,"ニンジン","にんじん",50
3772,"チキンブイヨン","ちきんぶいよん",7
3782,"塩、胡椒、タバスコ","しお、こしょう、たばすこ",1
3792,"無塩バター","むえんばたー",23
3802,"強力粉","きょうりきこ",16
3812,"カニフレーク","かにふれーく",1
3822,"パセリみじん切り","ぱせりみじんぎり",1
3832,"パン粉、薄力粉、溶き卵","ぱんこ、はくりきこ、ときたまご",1
3842,"粉チーズ","こなちーず",7
3852,"塩・こしょう","しおこしょう",4
3862,"タイム","たいむ",10
3872,"赤身牛もも肉","あかみぎゅうももにく",1
3882,"鶏がら","とりがら",1
3892,"牛肉赤ミンチ","ぎゅうにくあかみんち",1
3902,"卵白","らんぱく",12
3912,"ガーリックパウダー","がーりっくぱうだー",2
3922,"ブラックペッパー","ぶらっくぺっぱー",3
3932,"赤ワイン","あかわいん",5
3942,"プチトマト","ぷちとまと",4
3952,"フランスパン","ふらんすぱん",2
3962,"バンズ","ばんず",1
3972,"レタス","れたす",4
3982,"チーズ","ちーず",3
3992,"牛脂","ぎゅうし",1
4002,"スパイスミックス","すぱいすみっくす",1
4012,"黒コショウ","くろこしょう",11
4022,"骨付き鶏もも肉","ほねつきとりももにく",3
4032,"桜チップ","さくらちっぷ",1
4042,"コショウ","こしょう",100
4052,"オールスパイス","おーるすぱいす",2
4062,"カットトマト缶","かっととまとかん",1
4072,"ミックスビーンズの水煮","みっくすびーんずのみずに",1
4082,"チリコンカンのシーズニング","ちりこんかんのしーずにんぐ",1
4092,"トルティーヤチップス","とるてぃーやちっぷす",1
4102,"ムール貝","むーるがい",6
4112,"玉ネギ","たまねぎ",114
4122,"白コショウ","しろこしょう",13
4132,"白マッシュルーム","しろまっしゅるーむ",1
4142,"ディジョンマスタード","でぃじょんますたーど",1
4152,"白ビール","しろびーる",1
4162,"イタリアンパセリ","いたりあんぱせり",13
4172,"鶏むね肉","とりむねにく",7
4182,"とんかつソース","とんかつそーす",1
4192,"タマネギ","たまねぎ",114
4202,"パプリカパウダー","ぱぷりかぱうだー",11
4212,"鶏手羽元","きんぴら",2
4222,"粗びき黒コショウ","あらびきくろこしょう",3
4232,"ケイジャンスパイス","けいじゃんすぱいす",1
4242,"ビール","びーる",2
4252,"牛あらびき肉","ぎゅうあらびきにく",1
4262,"藻塩","もしお",2
4272,"セミドライトマト","せみどらいとまと",1
4282,"デミグラスソース","でみぐらすそーす",2
4292,"XVオリーブオイル","おりーぶおいる",83
4302,"ピンクペッパー","ぴんくぺっぱー",1
4312,"豚肩ロースあらびき肉","ぶたかたろーすあらびきにく",1
4322,"あらびき黒コショウ","あらびきくろこしょう",3
4332,"ブラウンシュガー","ぶらうんしゅがー",2
4342,"氷水","こおりみず",1
4352,"レモンの皮","れもんのかわ",3
4362,"羊の腸","ひつじのちょう",1
4372,"野菜スープ","やさいすーぷ",1
4382,"ローズマリー","ろーずまりー",5
4392,"マッシュポテト","まっしゅぽてと",1
4402,"ローズマリー・イタリアンパセリなど","ろーずまりーいたりあんぱせりなど",1
4412,"アスパラガス","あすぱらがす",2
4422,"カイエンペッパー","かいえんぺっぱー",10
4432,"キャラウェイパウダー","きゃらうぇいぱうだー",1
4442,"イースト","いーすと",2
4452,"ぬるま湯","ぬるまゆ",6
4462,"豚挽き肉","ぶたひきにく",8
4472,"きのこ","きのこ",1
4482,"ネギ","ねぎ",6
4492,"サラダ菜","さらだな",1
4502,"豆板醤","とうばんじゃん",6
4512,"豚ロース","ぶたろーす",2
4522,"蟹肉","かににく",1
